State,percent_move_from_abroad_above_college_degree
Alabama,37.35323164709755
Alaska,36.28526645768025
Arizona,40.93475121438887
Arkansas,32.08203625709577
California,54.09142835200491
Colorado,51.21227115289461
Connecticut,49.096288673055895
Delaware,33.97095288699965
District of Columbia,81.25265693637523
Florida,41.363133490112624
Georgia,47.745442072768526
Hawaii,41.18493440541685
Idaho,48.016634676903394
Illinois,55.656465942744326
Indiana,41.39550210066727
Iowa,54.699818071558525
Kansas,47.04747774480712
Kentucky,46.10766459875926
Louisiana,28.937117417918756
Maine,41.256213285133306
Maryland,60.23896677947372
Massachusetts,56.16549783454613
Michigan,56.2467053241961
Minnesota,47.1028971028971
Mississippi,27.606098063452823
Missouri,43.86184806072001
Montana,46.52435686918446
Nebraska,35.00678426051561
Nevada,33.48599137931034
New Hampshire,34.46884805020171
New Jersey,48.93242609103707
New Mexico,31.15101809954751
New York,52.75282703319342
North Carolina,50.63729440912211
North Dakota,50.14678409394182
Ohio,46.19542327670925
Oklahoma,31.975412799807156
Oregon,47.47493163172288
Pennsylvania,51.45585255502817
Rhode Island,63.727346497159864
South Carolina,42.43058059862964
South Dakota,36.10954263128176
Tennessee,44.756121708138075
Texas,43.28416969838365
Utah,54.471268276096566
Vermont,36.324786324786324
Virginia,50.26382197751778
Washington,50.324276950043824
West Virginia,38.17521561507036
Wisconsin,47.214988425925924
Wyoming,14.781834372217276
Puerto Rico,
