State,Rank,Score
"
	  Maryland","
	1","
96.00"
"
	  Massachusetts","
	2","
95.33"
"
	  Colorado","
	3","
92.67"
"
	  Minnesota","
	4","
88.00"
"
	  Washington","
	5","
87.33"
"
	  Utah","
	6","
80.67"
"
	  California","
	7","
79.33"
"
	  Virginia","
	8","
76.67"
"
	  Alaska","
	9","
72.67"
"
	  Connecticut","
	10","
72.00"
"
	  Nebraska","
	11","
68.00"
"
	  Delaware","
	12","
67.33"
"
	  North Dakota","
	13","
64.67"
"
	  Pennsylvania","
	14","
62.67"
"
	  Texas","
	15","
62.00"
"
	  Wyoming","
	15","
62.00"
"
	  Wisconsin","
	17","
61.33"
"
	  Ohio","
	18","
59.33"
"
	  New Jersey","
	19","
57.33"
"
	  Oregon","
	19","
57.33"
"
	  North Carolina","
	21","
54.67"
"
	  Rhode Island","
	21","
54.67"
"
	  Michigan","
	23","
53.33"
"
	  Illinois","
	24","
52.00"
"
	  Idaho","
	25","
50.67"
"
	  New Hampshire","
	26","
50.00"
"
	  Arizona","
	27","
47.33"
"
	  Indiana","
	28","
46.67"
"
	  Montana","
	29","
46.00"
"
	  South Dakota","
	29","
46.00"
"
	  New Mexico","
	31","
45.33"
"
	  Kansas","
	32","
43.33"
"
	  Missouri","
	33","
42.67"
"
	  Alabama","
	34","
42.00"
"
	  Georgia","
	35","
40.67"
"
	  New York","
	36","
38.67"
"
	  Iowa","
	37","
34.67"
"
	  Vermont","
	38","
34.00"
"
	  South Carolina","
	39","
31.33"
"
	  Hawaii","
	40","
30.67"
"
	  Oklahoma","
	40","
30.67"
"
	  Tennessee","
	42","
27.33"
"
	  Maine","
	43","
26.00"
"
	  Florida","
	44","
20.67"
"
	  Kentucky","
	45","
16.67"
"
	  Louisiana","
	45","
16.67"
"
	  West Virginia","
	45","
16.67"
"
	  Mississippi","
	48","
16.00"
"
	  Arkansas","
	49","
14.67"
"
	  Nevada","
	50","
11.33"
